번호,신분,소속,응답여부,응답일시,소속대학원,전공,세부전공,쿠카이브 기본 사항 관련 질문입니다.,어떠한 경로를 통해 쿠카이브를 처음 접했습니까?* 해당사항에 모두 표시,쿠카이브에서 이용해본 경험이 있는 영역에 모두 체크해주십시오.*해당 사항에 모두 표시,쿠카이브에서 자주 사용할(사용할 의향이 있는)것으로 예상되는 영역을 체크해주십시오.*해당사항 모두 표시,쿠카이브가 자신에게 필요하다고 생각하십니까?,쿠카이브 전반의 운영과 지원 만족도 관련 질문입니다.,쿠카이브 사용자 페이지의 전반적인 디자인과 화면은 이용하기 쉽게 구성되었다.,쿠카이브에서 제공하는 기능을 쉽게 이해하고 이용하였다.,전반적으로 쿠카이브에서는 참여자 관리와 활동 지원이 잘되고 있다.,쿠카이브 전반의 운영 및 지원과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,쿠카이브 서비스 안정도 관련 질문입니다.,쿠카이브 사용자 페이지에서 서비스를 이용하는 동안 서버 상태 및 웹 사이트 접속은 원활하였다.,쿠카이브에서 제공하는 기능이 원활하게 작동되었다.,쿠카이브 기능별 만족도 관련 질문입니다.,"쿠카이브 기능별 서비스(교과활동내역확인, 비교과프로그램 신청, 핵심역량진단, 통합 상담, 포트폴리오, 커뮤니티, 매뉴얼)는 전반적으로 만족스럽게 제공되고 있다",[교과 활동 내역 확인],쿠카이브에서 제공하는 “교과 활동(이수교과목 및 성적 조회 등)내역 확인”에 접속해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 “교과 활동 내역(이수교과목 및 성적 조회 등)” 확인이 만족스럽게 제공되었다.",쿠카이브를 통한 “교과 활동 (이수교과목 및 성적 조회 등) 내역 확인”과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[비교과 프로그램],쿠카이브에 개설된 교내 비교과 프로그램에 참여해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 비교과 프로그램 정보는 쉽게 이해할 수 있다.",쿠카이브를 통한 교내 비교과 프로그램 신청이 만족스럽게 진행되었다.,쿠카이브를 통한 교내 비교과 프로그램 운영과 관리 서비스는 만족스럽게 제공되었다.,쿠카이브를 통한 비교과 프로그램과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[핵심역량],쿠카이브를 통해 “핵심역량진단”에 참여해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 “핵심역량진단” 참여와 결과 확인은 쉽게 확인할 수 있다.",쿠카이브를 통한 “핵심역량진단” 운영과 관리 서비스는 만족스럽게 제공되었다.,쿠카이브를 통한 “핵심역량진단”와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[통합상담],쿠카이브를 통해 &#34;통합상담&#34;에 참여해본 적이 있습니까?,"쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담) 신청이 만족스럽게 진행되었다.","쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)운영과 관리 서비스가 만족스럽게 진행되었다.","쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[포트폴리오],"쿠카이브에서 제공하는 “포트폴리오(이력서, 자기소개서, 포트폴리오)” 기능을 사용해보신 적이 있습니까?","쿠카이브의 “포트폴리오(이력서, 자기소개서, E-포트폴리오)” 기능이 만족스럽게 제공되었다.","쿠카이브에서 제공되는 “포트폴리오(이력서, 자기소개서, 포트폴리오)” 와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[커뮤니티],"쿠카이브 &#39;커뮤니티(공지사항, 자료실, Q&#38;A, 일반설문, FAQ 등)에서 제공하는 기능을 사용해보신 적이 있습니까?","쿠카이브를 통한 “커뮤니티(공지사항,자료실,Q&#38;A , 일반설문, FAQ 등)”기능이 만족스럽게 제공되었다.","쿠카이브에서 제공되는 “커뮤니티(공지사항,자료실,Q&#38;A,일반설문,FAQ 등)” 와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[매뉴얼],쿠카이브 “매뉴얼” 항목탭에 접속해보신 적이 있습니까?,쿠카이브에서 제공되는 “매뉴얼”과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,비교과과정 관련 질문입니다.,[비교과과정 기본 사항],교내 비교과 프로그램에 참여한 적이 있습니까?,평소 교내 비교과 프로그램의 정보를 어디에서 취득하고 계십니까? *해당 사항에 모두 표시,교내 비교과 프로그램에 참여할 때 가장 중요하게 생각하는 요소는 무엇입니까?,[비교과과정 만족도],우리대학은 다양한 비교과 프로그램을 개설 및 운영하고 있다,우리대학의 비교과 프로그램은 목표에 맞는 적절한 내용을 다룬다.,우리대학의 비교과 프로그램에 전반적으로 만족한다.,향후 개설되었으면 하는 교내 비교과 프로그램에는 무엇이 있습니까? 자유롭게 기술해주십시오.
513,학생,교육학과,응답,2023-12-20,,,,,"학교 커뮤니티(고파스, 에브리타임 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심 역량 진단 검사,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),커뮤니티(공지사항, 자료실, Q&#38;A 등)",매우 그렇다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,그렇다.,,,예 ??&lt;문항 30&gt;로 이동,매우 그렇다.,그렇다.,,,예 ?? &lt;문항 34&gt;로 이동,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서","취미, 흥미,진로탐색,경력인정(이수증)을 통한 스펙 쌓기",,보통이다.,그렇다.,보통이다.,
514,학생,행정학과,응답,2023-12-20,,,,,"주변인(동기, 직장동료 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,그렇다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서",,,,,,
515,학생,정치외교학과,응답,2023-12-10,,,,,"학교 커뮤니티(고파스, 에브리타임 등)",비교과 프로그램,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,포트폴리오(이력서, 자기소개서, 포트폴리오)",그렇지 않다.,,그렇지 않다.,그렇지 않다.,그렇지 않다.,,,보통이다.,그렇다.,,그렇지 않다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,매우 그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서","취미, 흥미,진로탐색,경력인정(이수증)을 통한 스펙 쌓기,정신 건강 및 웰빙",,그렇지 않다.,그렇다.,보통이다.,
516,학생,화공생명공학과,응답,2023-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,학생,지구환경과학과,응답,2023-12-21,,,,,기타,비교과 프로그램,"비교과 프로그램,포트폴리오(이력서, 자기소개서, 포트폴리오)",그렇다.,,그렇다.,그렇다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,그렇다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"쿠카이브를 통해서,기타",,,,,,
518,학생,의예과,응답,2023-12-29,,,,,포털 공지사항,교과 활동(이수교과목 및 성적조회) 내역 확인,"교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,그렇다.,그렇다.,보통이다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,각 부서/단과대학 홈페이지를 통해서,,,,,,
519,학생,의예과,응답,2023-12-21,,,,,"학교 커뮤니티(고파스, 에브리타임 등),교내 부서의 비교과 안내문","비교과 프로그램,핵심 역량 진단 검사",비교과 프로그램,보통이다.,,그렇다.,매우 그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,,,예 ??&lt;문항 30&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,각 부서/단과대학 홈페이지를 통해서,"취미, 흥미",,그렇다.,그렇다.,그렇다.,
520,학생,융합에너지공학과,응답,2023-12-22,,,,,"포털 공지사항,교내 부서의 비교과 안내문","비교과 프로그램,핵심 역량 진단 검사,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)","비교과 프로그램,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),포트폴리오(이력서, 자기소개서, 포트폴리오)",그렇다.,,그렇지 않다.,그렇지 않다.,그렇다.,,,매우 그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇지 않다.,매우 그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,보통이다.,보통이다.,,,예 ?? &lt;문항 34&gt;로 이동,그렇다.,전혀 그렇지 않다.,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서","취미, 흥미,진로탐색,전공과의 연계성,정신 건강 및 웰빙",,그렇다.,그렇다.,그렇다.,
521,학생,융합에너지공학과,응답,2023-12-23,,,,,포털 공지사항,비교과 프로그램,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,.,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,그렇다.,.,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,.,,아니요 ??&lt;문항 33&gt;로 이동,,매우 그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,쿠카이브를 통해서,"취미, 흥미,전공과의 연계성",,매우 그렇다.,매우 그렇다.,매우 그렇다.,.
522,학생,정치외교학과,응답,2023-12-12,,,,,"포털 공지사항,교내 부서의 비교과 안내문","핵심 역량 진단 검사,포트폴리오(이력서,자기소개서,포트폴리오),커뮤니티(공지사항, 자료실, Q&#38;A 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심역량진단,포트폴리오(이력서, 자기소개서, 포트폴리오)",보통이다.,,그렇다.,그렇다.,그렇다.,,,그렇지 않다.,그렇지 않다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,예 ??&lt;문항 30&gt;로 이동,매우 그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,예 ??&lt;문항 38&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,예 ??&lt;문항 44&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서",,,,,,
523,학생,행정학과,응답,2023-12-22,,,,,"주변인(동기, 직장동료 등)",비교과 프로그램,비교과 프로그램,그렇다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,보통이다.,GLP프로그램 등 경쟁률이 높은 프로그램의 심사 기준의 투명한 공개 및 공정성 확보,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서",경력인정(이수증)을 통한 스펙 쌓기,,보통이다.,보통이다.,보통이다.,더욱 많은 교내외 프로그램 개최
524,학생,전기전자공학부,응답,2023-12-25,,,,,본 설문조사,비교과 프로그램,비교과 프로그램,보통이다.,,보통이다.,보통이다.,보통이다.,.,,보통이다.,보통이다.,,보통이다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,보통이다.,보통이다.,보통이다.,.,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,쿠카이브를 통해서,"취미, 흥미,진로탐색,전공과의 연계성",,보통이다.,보통이다.,그렇지 않다.,.
525,학생,정치외교학과,응답,2023-12-27,,,,,교내 부서의 비교과 안내문,"비교과 프로그램,핵심 역량 진단 검사,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)","비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,예 ??&lt;문항 30&gt;로 이동,매우 그렇다.,매우 그렇다.,,,예 ?? &lt;문항 34&gt;로 이동,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서,교내 단체·동아리 참여를 통해서",진로탐색,,그렇다.,그렇다.,그렇다.,계절학기 교환학생 프로그램 신설.
526,학생,정치외교학과,응답,2023-12-27,,,,,"포털 공지사항,교내 부서의 비교과 안내문",비교과 프로그램,"비교과 프로그램,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,보통이다.,,,매우 그렇다.,매우 그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서",진로탐색,,보통이다.,그렇다.,보통이다.,산학 연계 프로그램
527,학생,기계공학부,응답,2023-11-28,,,,,"주변인(동기, 직장동료 등),쿠카이브 관련 행사(설명회, 이벤트 등)",비교과 프로그램,"비교과 프로그램,포트폴리오(이력서, 자기소개서, 포트폴리오),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,보통이다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서","취미, 흥미,진로탐색,전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기",,그렇다.,그렇다.,그렇다.,
528,학생,통계학과,응답,2023-11-25,,,,,"학교 커뮤니티(고파스, 에브리타임 등),본 설문조사",교과 활동(이수교과목 및 성적조회) 내역 확인,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서",,,그렇다.,그렇다.,그렇다.,
529,학생,전기전자공학부,응답,2023-12-09,,,,,포털 공지사항,"비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",비교과 프로그램,매우 그렇다.,,그렇다.,그렇다.,그렇다.,"대기자 / 신청자 현황이 제대로 표시되고 있는 건지 의문이 들때가 많아서 , 이런 현황을 더 잘 확인할 수 있으면 좋을 거 같습니다.",,매우 그렇다.,매우 그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,보통이다.,보통이다.,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서","취미, 흥미,진로탐색,전공과의 연계성",,그렇다.,그렇다.,그렇다.,방학동안 전공 심화 프로젝트나 대회가 열리면 좋을 거 같다.
530,학생,정치외교학과,응답,2023-12-23,,,,,교내 부서의 비교과 안내문,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심 역량 진단 검사,증명서 발급(비교과프로그램, 법정의무교육 등)","비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,,,예 ??&lt;문항 30&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서","취미, 흥미,진로탐색,전공과의 연계성",,그렇다.,그렇다.,그렇다.,
531,학생,전기전자공학부,응답,2023-12-28,,,,,"학교 커뮤니티(고파스, 에브리타임 등)",교과 활동(이수교과목 및 성적조회) 내역 확인,"비교과 프로그램,포트폴리오(이력서, 자기소개서, 포트폴리오),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,보통이다.,그렇지 않다.,보통이다.,.,,그렇다.,그렇다.,,보통이다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,보통이다.,그렇다.,보통이다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,쿠카이브를 통해서,"진로탐색,전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기",,보통이다.,보통이다.,보통이다.,
532,학생,경제학과,응답,2023-12-24,,,,,"주변인(동기, 직장동료 등)",교과 활동(이수교과목 및 성적조회) 내역 확인,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램",그렇다.,,보통이다.,보통이다.,그렇지 않다.,,,보통이다.,보통이다.,,그렇지 않다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,전혀 그렇지 않다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,전혀 그렇지 않다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,전혀 그렇지 않다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,쿠카이브를 통해서,,,전혀 그렇지 않다.,그렇지 않다.,그렇지 않다.,
